Quiz Score,Coding Score,Problems Solved,Technical Query Rating,Project Experience,Study Consistency,Learning Behaviour,Skill Level
52,4,39,5,Beginner,partially-consistent,Passive-learner,Intermediate
87,6,80,7,Intermediate,Highly-consistent,Active-learner,Advanced
62,7,191,6,Advanced,partially-consistent,High-potential,Advanced
35,4,39,5,Beginner,partially-consistent,High-potential,Intermediate
33,4,34,5,Beginner,partially-consistent,Struggling,Intermediate
13,0,4,1,Beginner,partially-consistent,Struggling,Beginner
65,6,128,6,Advanced,partially-consistent,Active-learner,Advanced
24,1,4,3,Beginner,partially-consistent,Passive-learner,Advanced Beginner
90,8,409,8,Advanced,partially-consistent,Active-learner,Expert
16,1,5,3,Beginner,partially-consistent,Passive-learner,Advanced Beginner
32,1,8,2,Vibe-Coder,Inconsistent,Passive-learner,Advanced Beginner
16,1,4,3,Vibe-Coder,partially-consistent,Active-learner,Advanced Beginner
3,1,0,1,Vibe-Coder,Inconsistent,Active-learner,Beginner
16,1,9,3,Beginner,partially-consistent,Active-learner,Advanced Beginner
15,1,7,3,Beginner,partially-consistent,Passive-learner,Advanced Beginner
98,8,315,8,Expert,Highly-consistent,Active-learner,Expert
21,1,9,2,Vibe-Coder,Inconsistent,Struggling,Advanced Beginner
5,1,1,0,None,partially-consistent,Struggling,Beginner
95,9,385,8,Expert,Highly-consistent,Active-learner,Expert
66,6,79,6,Intermediate,Highly-consistent,Struggling,Advanced
94,8,357,9,Vibe-Coder,Highly-consistent,High-potential,Expert
86,7,126,6,Vibe-Coder,partially-consistent,Active-learner,Advanced
17,0,0,1,Vibe-Coder,Inconsistent,Active-learner,Beginner
25,1,8,3,Beginner,partially-consistent,Passive-learner,Advanced Beginner
67,5,14,4,Vibe-Coder,partially-consistent,Passive-learner,Intermediate
33,1,5,2,Beginner,Inconsistent,Passive-learner,Advanced Beginner
39,1,8,3,Vibe-Coder,Inconsistent,Struggling,Advanced Beginner
76,6,151,6,Advanced,partially-consistent,Struggling,Advanced
12,0,1,1,Vibe-Coder,Inconsistent,Active-learner,Beginner
16,1,3,3,Vibe-Coder,Inconsistent,Passive-learner,Advanced Beginner
28,1,4,2,Vibe-Coder,Inconsistent,Passive-learner,Advanced Beginner
12,1,2,1,None,Inconsistent,Passive-learner,Beginner
93,8,489,8,Vibe-Coder,Highly-consistent,High-potential,Expert
32,1,9,3,Vibe-Coder,Inconsistent,High-potential,Advanced Beginner
